text,label
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
International recruitment job. Pay security deposit to receive offer letter.,1
Accountant needed at HDFC Bank with CA qualification and 2 years of experience.,0
"Data Analyst at Wipro requiring Excel, SQL, and Power BI skills.",0
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
Online captcha filling job. No skills required. Registration fee mandatory.,1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
International recruitment job. Pay security deposit to receive offer letter.,1
HR Executive at TCS with MBA qualification and recruitment experience.,0
Civil Engineer for highway project with 4 years site experience.,0
"Data Analyst at Wipro requiring Excel, SQL, and Power BI skills.",0
Civil Engineer for highway project with 4 years site experience.,0
Amazon USA job offer. Pay visa processing fee to confirm selection.,1
Crypto investment job. Double your salary weekly. Join fast.,1
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
"Data Analyst at Wipro requiring Excel, SQL, and Power BI skills.",0
Civil Engineer for highway project with 4 years site experience.,0
Crypto investment job. Double your salary weekly. Join fast.,1
Accountant needed at HDFC Bank with CA qualification and 2 years of experience.,0
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
International recruitment job. Pay security deposit to receive offer letter.,1
Immediate government job without exam. Contact now with payment.,1
Software Engineer at Infosys requiring 3 years Python experience and knowledge of SQL databases.,0
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
"Typing job from home. 2 hours daily earn ₹30,000 weekly. Limited slots available.",1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
"Earn ₹50,000 per week from home with no experience required. Pay ₹2999 registration fee to start immediately.",1
Teacher required for CBSE school with B.Ed qualification.,0
Online captcha filling job. No skills required. Registration fee mandatory.,1
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
"Typing job from home. 2 hours daily earn ₹30,000 weekly. Limited slots available.",1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
Crypto investment job. Double your salary weekly. Join fast.,1
Accountant needed at HDFC Bank with CA qualification and 2 years of experience.,0
Immediate government job without exam. Contact now with payment.,1
Marketing Manager at ITC Ltd with 5 years FMCG experience.,0
"Data Analyst at Wipro requiring Excel, SQL, and Power BI skills.",0
Easy online job with guaranteed income. No qualification required.,1
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
Teacher required for CBSE school with B.Ed qualification.,0
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
Crypto investment job. Double your salary weekly. Join fast.,1
"Earn ₹50,000 per week from home with no experience required. Pay ₹2999 registration fee to start immediately.",1
Easy online job with guaranteed income. No qualification required.,1
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
International recruitment job. Pay security deposit to receive offer letter.,1
Teacher required for CBSE school with B.Ed qualification.,0
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
"Earn ₹50,000 per week from home with no experience required. Pay ₹2999 registration fee to start immediately.",1
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
"Typing job from home. 2 hours daily earn ₹30,000 weekly. Limited slots available.",1
Civil Engineer for highway project with 4 years site experience.,0
Work from home data entry job. Earn daily income guaranteed. WhatsApp now to join.,1
HR Executive at TCS with MBA qualification and recruitment experience.,0
Crypto investment job. Double your salary weekly. Join fast.,1
Software Engineer at Infosys requiring 3 years Python experience and knowledge of SQL databases.,0
Civil Engineer for highway project with 4 years site experience.,0
Marketing Manager at ITC Ltd with 5 years FMCG experience.,0
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
International recruitment job. Pay security deposit to receive offer letter.,1
"Data Analyst at Wipro requiring Excel, SQL, and Power BI skills.",0
Online captcha filling job. No skills required. Registration fee mandatory.,1
"Typing job from home. 2 hours daily earn ₹30,000 weekly. Limited slots available.",1
Amazon USA job offer. Pay visa processing fee to confirm selection.,1
Work from home data entry job. Earn daily income guaranteed. WhatsApp now to join.,1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
Easy online job with guaranteed income. No qualification required.,1
"Typing job from home. 2 hours daily earn ₹30,000 weekly. Limited slots available.",1
Marketing Manager at ITC Ltd with 5 years FMCG experience.,0
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
Amazon USA job offer. Pay visa processing fee to confirm selection.,1
Crypto investment job. Double your salary weekly. Join fast.,1
Work from home data entry job. Earn daily income guaranteed. WhatsApp now to join.,1
HR Executive at TCS with MBA qualification and recruitment experience.,0
Work from home data entry job. Earn daily income guaranteed. WhatsApp now to join.,1
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
HR Executive at TCS with MBA qualification and recruitment experience.,0
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
Urgent hiring for airport job. No interview. Send ₹5000 processing fee now.,1
Civil Engineer for highway project with 4 years site experience.,0
Crypto investment job. Double your salary weekly. Join fast.,1
Crypto investment job. Double your salary weekly. Join fast.,1
Crypto investment job. Double your salary weekly. Join fast.,1
"Earn ₹50,000 per week from home with no experience required. Pay ₹2999 registration fee to start immediately.",1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
"Earn ₹50,000 per week from home with no experience required. Pay ₹2999 registration fee to start immediately.",1
Teacher required for CBSE school with B.Ed qualification.,0
Mechanical Engineer at Larsen & Toubro with experience in AutoCAD and project supervision.,0
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
International recruitment job. Pay security deposit to receive offer letter.,1
Marketing Manager at ITC Ltd with 5 years FMCG experience.,0
Nurse required at Apollo Hospital with valid nursing license and 1+ year experience.,0
International recruitment job. Pay security deposit to receive offer letter.,1
Frontend Developer at Zoho with React.js and JavaScript experience.,0
Amazon USA job offer. Pay visa processing fee to confirm selection.,1
Work from home data entry job. Earn daily income guaranteed. WhatsApp now to join.,1
